City,Warm Winters,Affordable,Nature Access,Coastal,Walkable,Relaxed Pace,Top Healthcare,Progressive,Low Noise,Strong Job Market,High Sunshine,Strong Arts
Gulf Shores AL,1,1,1,1,0,1,0,0,1,0,1,0
Myrtle Beach SC,1,1,0,1,0,1,0,0,1,0,1,0
Hilton Head SC,1,0,1,1,0,1,1,0,1,0,1,0
Wilmington DE,0,1,0,1,0,0,1,1,0,1,0,0
Rehoboth Beach DE,0,0,1,1,1,1,1,1,1,0,0,0
Ocean City MD,0,0,1,1,1,1,0,0,1,0,0,0
Annapolis MD,0,0,1,1,1,1,1,1,1,1,0,1
Frederick MD,0,1,1,0,1,1,1,1,1,1,0,0
Richmond VA,0,1,1,0,1,1,1,1,0,1,0,1
Charlottesville VA,0,0,1,0,1,1,1,1,1,1,0,1
Roanoke VA,0,1,1,0,0,1,1,0,1,0,0,0
Winston-Salem NC,0,1,1,0,0,1,1,0,1,1,0,1
Durham NC,0,1,1,0,0,1,1,1,0,1,0,1
Chapel Hill NC,0,0,1,0,1,1,1,1,1,1,0,1
Greenville NC,0,1,0,0,0,1,1,0,1,0,0,0
Athens GA,1,1,0,0,1,1,1,1,1,0,1,1
Augusta GA,1,1,0,0,0,1,1,0,1,1,1,0
Macon GA,1,1,0,0,0,1,1,0,1,0,1,0
Jackson MS,1,1,0,0,0,1,0,0,1,0,1,0
Little Rock AR,1,1,1,0,0,1,1,0,1,0,1,0
Fayetteville AR,0,1,1,0,0,1,1,0,1,1,0,0
Columbia MO,0,1,1,0,1,1,1,0,1,0,0,0
Springfield MO,0,1,1,0,0,1,1,0,1,0,0,0
Des Moines IA,0,1,0,0,0,1,1,0,1,1,0,0
Iowa City IA,0,1,0,0,1,1,1,1,1,0,0,1
Omaha NE,0,1,0,0,0,1,1,0,1,1,0,0
Lincoln NE,0,1,0,0,0,1,1,0,1,1,0,0
Wichita KS,0,1,0,0,0,1,1,0,1,0,0,0
Topeka KS,0,1,0,0,0,1,1,0,1,0,0,0
Fort Collins CO,0,0,1,0,1,1,1,1,1,1,1,1
Bozeman MT,0,0,1,0,1,1,1,1,1,1,0,0
Missoula MT,0,0,1,0,1,1,1,1,1,0,0,1
Billings MT,0,1,1,0,0,1,1,0,1,0,0,0
Jackson WY,0,0,1,0,1,1,1,0,1,0,0,1
Cheyenne WY,0,1,1,0,0,1,1,0,1,0,0,0
Boise ID,0,1,1,0,1,1,1,0,1,1,1,0
Coeur d'Alene ID,0,0,1,0,1,1,1,0,1,0,0,0
Provo UT,0,1,1,0,0,1,1,0,1,1,1,0
Ogden UT,0,1,1,0,0,1,1,0,1,1,1,0
Flagstaff AZ,0,0,1,0,1,1,1,1,1,0,1,0
Sedona AZ,1,0,1,0,1,1,0,1,1,0,1,1
Las Cruces NM,1,1,1,0,0,1,1,1,1,0,1,0
Carmel CA,1,0,1,1,1,1,1,1,1,0,1,1
Laguna Beach CA,1,0,1,1,1,1,1,1,1,0,1,1
Irvine CA,1,0,1,1,0,0,1,1,0,1,1,0
Pasadena CA,1,0,1,0,1,0,1,1,0,1,1,1
Bakersfield CA,1,1,1,0,0,1,1,0,1,0,1,0
Stockton CA,1,1,0,0,0,1,1,0,1,0,1,0
Modesto CA,1,1,0,0,0,1,1,0,1,0,1,0
Salem OR,0,1,1,0,0,1,1,1,1,0,0,0
Olympia WA,0,1,1,1,1,1,1,1,1,0,0,0
Bellingham WA,0,0,1,1,1,1,1,1,1,0,0,1
Fargo ND,0,1,0,0,0,1,1,0,1,1,0,0
Sioux Falls SD,0,1,0,0,0,1,1,0,1,1,0,0
Duluth MN,0,1,1,1,0,1,1,1,1,0,0,0
Green Bay WI,0,1,0,1,0,1,1,0,1,0,0,0
Appleton WI,0,1,0,0,0,1,1,0,1,0,0,0
Rockford IL,0,1,0,0,0,1,1,0,1,0,0,0
Peoria IL,0,1,0,0,0,1,1,0,1,0,0,0
Fort Wayne IN,0,1,0,0,0,1,1,0,1,0,0,0
South Bend IN,0,1,0,0,0,1,1,0,1,0,0,0
Toledo OH,0,1,0,1,0,1,1,0,1,0,0,0
Dayton OH,0,1,0,0,0,1,1,0,1,0,0,0
Akron OH,0,1,0,0,0,1,1,0,1,0,0,0
Erie PA,0,1,0,1,0,1,1,0,1,0,0,0
Allentown PA,0,1,0,0,0,1,1,0,1,0,0,0
Harrisburg PA,0,1,0,0,0,1,1,0,1,0,0,0
Scranton PA,0,1,1,0,0,1,1,0,1,0,0,0
Syracuse NY,0,1,1,0,0,1,1,1,1,0,0,0
Ithaca NY,0,0,1,0,1,1,1,1,1,0,0,1
Hartford CT,0,1,0,0,0,1,1,1,0,1,0,0
Stamford CT,0,0,0,1,1,0,1,1,0,1,0,0
Worcester MA,0,1,0,0,0,1,1,1,0,1,0,0
Springfield MA,0,1,0,0,0,1,1,1,0,0,0,0
Manchester NH,0,1,1,0,0,1,1,0,1,1,0,0
Concord NH,0,1,1,0,1,1,1,0,1,0,0,0
Augusta ME,0,1,1,0,0,1,1,1,1,0,0,0
San Juan PR,1,1,1,1,1,0,1,1,0,1,1,1
Ponce PR,1,1,1,1,1,1,0,0,1,0,1,1
Charlotte Amalie VI,1,0,1,1,1,1,0,1,0,0,1,0
Cruz Bay VI,1,0,1,1,1,1,0,1,1,0,1,0
Christiansted VI,1,1,1,1,1,1,0,1,1,0,1,0
Kihei HI,1,0,1,1,0,1,0,1,0,0,1,0
Lahaina HI,1,0,1,1,1,1,0,1,0,0,1,1
Hilo HI,1,1,1,1,1,1,1,1,1,0,0,1
Kailua-Kona HI,1,0,1,1,0,1,0,1,1,0,1,0
Lihue HI,1,0,1,1,0,1,0,1,1,0,1,0
Friday Harbor WA,0,0,1,1,1,1,0,1,1,0,0,1
Bainbridge Island WA,0,0,1,1,1,1,1,1,1,0,0,1
Nantucket MA,0,0,1,1,1,1,0,1,1,0,0,1
Edgartown MA,0,0,1,1,1,1,0,1,1,0,0,1
Avalon CA,1,0,1,1,1,1,0,1,1,0,1,0
Sanibel FL,1,0,1,1,0,1,0,0,1,0,1,0
Marco Island FL,1,0,1,1,0,1,0,0,1,0,1,0
Fernandina Beach FL,1,0,1,1,1,1,0,0,1,0,1,0
South Padre Island TX,1,1,1,1,1,1,0,0,0,0,1,0
Tybee Island GA,1,1,1,1,1,1,0,0,1,0,1,0
Bar Harbor ME,0,0,1,1,1,1,0,1,1,0,0,1
Mackinac Island MI,0,0,1,1,1,1,0,0,1,0,0,0
Chincoteague VA,0,1,1,1,1,1,0,0,1,0,1,0
Ocracoke NC,1,1,1,1,1,1,0,0,1,0,1,0
Hilton Head Island SC,1,0,1,1,0,1,1,0,0,0,1,0
